algo,condition,seed,episode,return,length,switched,fired_at
PPO_DR,C6,1,1,228.61210982852663,926,False,
PPO_DR,C6,1,2,124.898019148499,1000,False,
PPO_DR,C6,1,3,159.63042838924548,1000,False,
PPO_DR,C6,1,4,117.00915181458936,1000,False,
PPO_DR,C6,1,5,108.95073682041595,1000,False,
PPO_DR,C6,1,6,220.56135852673822,603,False,
PPO_DR,C6,1,7,112.78250996198464,1000,False,
PPO_DR,C6,1,8,152.04643689528288,1000,False,
PPO_DR,C6,1,9,126.64091885252171,1000,False,
PPO_DR,C6,1,10,140.900949272434,1000,False,
PPO_DR,C6,1,11,103.29544626410133,1000,False,
PPO_DR,C6,1,12,122.28351146425385,1000,False,
PPO_DR,C6,1,13,226.5061920528937,427,False,
PPO_DR,C6,1,14,203.6782595868681,497,False,
PPO_DR,C6,1,15,104.73831980052739,1000,False,
PPO_DR,C6,1,16,223.28667081695454,464,False,
PPO_DR,C6,1,17,127.32787174673634,1000,False,
PPO_DR,C6,1,18,227.7001970479426,515,False,
PPO_DR,C6,1,19,110.503319623957,1000,False,
PPO_DR,C5,1,0,-1.6772944734230464,277,False,280.0
PPO_DR,C5,1,1,17.220850293756087,305,True,272.0
PPO_DR,C5,1,2,9.538748453323407,264,True,220.0
PPO_DR,C5,1,3,57.71491598986037,275,True,225.0
PPO_DR,C5,1,4,249.24814295470622,330,True,272.0
PPO_DR,C5,1,5,18.12334593186216,275,True,260.0
PPO_DR,C5,1,6,23.53682836497849,267,True,219.0
PPO_DR,C5,1,7,218.87765519643978,332,True,225.0
PPO_DR,C5,1,8,278.15967421381936,372,True,266.0
PPO_DR,C5,1,9,15.183652351326316,275,True,235.0
PPO_DR,C5,1,10,40.43258974641418,282,True,275.0
PPO_DR,C5,1,11,15.327212231967692,269,True,227.0
PPO_DR,C5,1,12,28.07259338491818,279,True,266.0
PPO_DR,C5,1,13,11.50058173668134,266,True,219.0
PPO_DR,C5,1,14,253.51919163911825,362,True,266.0
PPO_DR,C5,1,15,18.361229970635364,268,True,227.0
PPO_DR,C5,1,16,246.94690012825768,376,True,271.0
PPO_DR,C5,1,17,9.836242984272275,278,True,272.0
PPO_DR,C5,1,18,27.606804888132928,294,True,282.0
PPO_DR,C5,1,19,12.161798475415338,280,True,272.0
PPO_DR,C1,2,0,189.09747012052895,482,False,
PPO_DR,C1,2,1,196.5529283829241,516,False,
PPO_DR,C1,2,2,192.30029023729497,496,False,
PPO_DR,C1,2,3,43.53734699203807,1000,False,
PPO_DR,C1,2,4,198.40869579073882,402,False,
PPO_DR,C1,2,5,98.78221881522691,1000,False,
PPO_DR,C1,2,6,213.9397491381509,502,False,
PPO_DR,C1,2,7,118.55287699962558,1000,False,
PPO_DR,C1,2,8,91.58804638977519,1000,False,
PPO_DR,C1,2,9,187.48742977021703,426,False,
PPO_DR,C1,2,10,206.8712325912824,394,False,
PPO_DR,C1,2,11,117.09786324316612,1000,False,
PPO_DR,C1,2,12,87.09578059167968,1000,False,
PPO_DR,C1,2,13,180.09927288717873,489,False,
PPO_DR,C1,2,14,78.1255862220455,1000,False,
PPO_DR,C1,2,15,204.8794747384821,452,False,
PPO_DR,C1,2,16,194.79549893925895,542,False,
PPO_DR,C1,2,17,105.70086194968776,1000,False,
PPO_DR,C1,2,18,104.20991457342349,1000,False,
PPO_DR,C1,2,19,218.8234753568611,782,False,
PPO_DR,C2,2,0,-12.300910082511805,278,False,
PPO_DR,C2,2,1,23.687658482614296,326,False,
PPO_DR,C2,2,2,-28.28380276558056,296,False,
PPO_DR,C2,2,3,34.07581981583789,309,False,
PPO_DR,C2,2,4,-28.560072431721935,258,False,
PPO_DR,C2,2,5,-19.855738990520493,295,False,
PPO_DR,C2,2,6,4.471600174576764,259,False,
PPO_DR,C2,2,7,131.05827514694752,1000,False,
PPO_DR,C2,2,8,18.64899483229604,290,False,
PPO_DR,C2,2,9,-35.53179179774018,259,False,
PPO_DR,C2,2,10,220.14927804930414,343,False,
PPO_DR,C2,2,11,28.895554519968186,274,False,
PPO_DR,C2,2,12,-29.429334517312114,275,False,
PPO_DR,C2,2,13,-28.670298758338305,282,False,
PPO_DR,C2,2,14,-24.947274781144557,302,False,
PPO_DR,C2,2,15,7.139002313770348,290,False,
PPO_DR,C2,2,16,14.918278919034208,310,False,
PPO_DR,C2,2,17,19.884874168087578,285,False,
PPO_DR,C2,2,18,-26.56599253892199,265,False,
PPO_DR,C2,2,19,230.22112090652197,835,False,
PPO_DR,C3,2,0,-28.916041030421113,255,True,200.0
PPO_DR,C3,2,1,24.291910067384805,264,True,200.0
PPO_DR,C3,2,2,-10.77316031696192,259,True,200.0
PPO_DR,C3,2,3,11.534406897804729,258,True,200.0
PPO_DR,C3,2,4,-34.48683348156264,251,True,200.0
PPO_DR,C3,2,5,3.280369927465941,261,True,200.0
PPO_DR,C3,2,6,7.488445531692534,245,True,200.0
PPO_DR,C3,2,7,20.146927739447904,251,True,200.0
PPO_DR,C3,2,8,-24.779494347592006,249,True,200.0
PPO_DR,C3,2,9,-47.89624854814559,251,True,200.0
PPO_DR,C3,2,10,-0.30071363525570405,248,True,200.0
PPO_DR,C3,2,11,21.08455618737905,250,True,200.0
PPO_DR,C3,2,12,-11.474453625107856,254,True,200.0
PPO_DR,C3,2,13,-37.35519469952597,256,True,200.0
PPO_DR,C3,2,14,-22.02209571587595,261,True,200.0
PPO_DR,C3,2,15,21.797372477375745,259,True,200.0
PPO_DR,C3,2,16,-15.632949055728389,258,True,200.0
PPO_DR,C3,2,17,8.708385770269075,259,True,200.0
PPO_DR,C3,2,18,-25.62784869937677,264,True,200.0
PPO_DR,C3,2,19,238.9927525176103,333,True,200.0
PPO_DR,C4,2,0,-12.300910082511805,278,True,277.0
PPO_DR,C4,2,1,23.687658482614296,326,False,
PPO_DR,C4,2,2,-28.28380276558056,296,False,
PPO_DR,C4,2,3,34.07581981583789,309,True,304.0
PPO_DR,C4,2,4,-28.560072431721935,258,True,220.0
PPO_DR,C4,2,5,-19.855738990520493,295,True,284.0
PPO_DR,C4,2,6,4.471600174576764,259,True,227.0
PPO_DR,C4,2,7,131.05827514694752,1000,False,
PPO_DR,C4,2,8,18.64899483229604,290,False,
PPO_DR,C4,2,9,-35.53179179774018,259,True,229.0
PPO_DR,C4,2,10,284.40519521915417,366,True,148.0
PPO_DR,C4,2,11,28.895554519968186,274,True,272.0
PPO_DR,C4,2,12,-29.429334517312114,275,True,252.0
PPO_DR,C4,2,13,-28.670298758338305,282,False,
PPO_DR,C4,2,14,-24.947274781144557,302,False,
PPO_DR,C4,2,15,7.139002313770348,290,True,285.0
PPO_DR,C4,2,16,14.918278919034208,310,True,309.0
PPO_DR,C4,2,17,19.884874168087578,285,True,283.0
PPO_DR,C4,2,18,-25.76806269564652,265,True,245.0
PPO_DR,C4,2,19,-221.1396433796511,471,True,315.0
PPO_DR,C6,2,0,189.09747012052895,482,False,
PPO_DR,C6,2,1,196.5529283829241,516,False,
PPO_DR,C6,2,2,192.30029023729497,496,False,
PPO_DR,C6,2,3,28.857559666419828,1000,True,838.0
PPO_DR,C6,2,4,233.55509272051043,513,True,345.0
PPO_DR,C6,2,5,203.35522044655022,920,True,867.0
PPO_DR,C6,2,6,213.84853037542695,354,True,317.0
PPO_DR,C6,2,7,118.55287699962558,1000,False,
PPO_DR,C6,2,8,189.458880027659,872,True,838.0
PPO_DR,C6,2,9,187.48742977021703,426,False,
PPO_DR,C6,2,10,277.8706757555061,396,True,148.0
PPO_DR,C6,2,11,117.09786324316612,1000,False,
PPO_DR,C6,2,12,87.09578059167968,1000,False,
PPO_DR,C6,2,13,180.09927288717873,489,False,
PPO_DR,C6,2,14,182.30192393568174,867,True,838.0
PPO_DR,C6,2,15,204.8794747384821,452,False,
PPO_DR,C6,2,16,194.79549893925895,542,False,
PPO_DR,C6,2,17,105.70086194968776,1000,False,
PPO_DR,C6,2,18,209.32350014508927,866,True,838.0
PPO_DR,C6,2,19,218.8234753568611,782,False,
PPO_DR,C5,2,0,-12.300910082511805,278,False,283.0
PPO_DR,C5,2,1,8.828518346153245,321,True,284.0
PPO_DR,C5,2,2,-28.28380276558056,296,False,304.0
PPO_DR,C5,2,3,-2.664029520018474,276,True,227.0
PPO_DR,C5,2,4,-28.560072431721935,258,True,229.0
PPO_DR,C5,2,5,-19.855738990520493,295,True,283.0
PPO_DR,C5,2,6,203.99445294797061,480,True,148.0
PPO_DR,C5,2,7,255.52988145328553,395,True,304.0
PPO_DR,C5,2,8,0.09557676712677221,274,True,227.0
PPO_DR,C5,2,9,-35.53179179774018,259,True,252.0
PPO_DR,C5,2,10,275.57721542830154,475,True,283.0
PPO_DR,C5,2,11,28.895554519968186,274,False,309.0
PPO_DR,C5,2,12,-29.429334517312114,275,False,315.0
PPO_DR,C5,2,13,-31.632018233879236,270,True,220.0
PPO_DR,C5,2,14,-19.3376306313249,301,True,245.0
PPO_DR,C5,2,15,7.139002313770348,290,True,277.0
PPO_DR,C5,2,16,10.823415002003927,309,True,272.0
PPO_DR,C5,2,17,19.884874168087578,285,True,284.0
PPO_DR,C5,2,18,-22.677157091636175,265,True,220.0
PPO_DR,C5,2,19,194.50122013481612,424,True,285.0
PPO_DR,C1,3,0,202.45448171688759,416,False,
PPO_DR,C1,3,1,210.67711325828296,410,False,
PPO_DR,C1,3,2,228.50791021682474,397,False,
PPO_DR,C1,3,3,152.64547704185446,389,False,
PPO_DR,C1,3,4,233.6828622141059,395,False,
PPO_DR,C1,3,5,207.41112750704158,464,False,
PPO_DR,C1,3,6,207.04251477955228,587,False,
PPO_DR,C1,3,7,213.2204903776042,464,False,
PPO_DR,C1,3,8,216.3908136333464,507,False,
PPO_DR,C1,3,9,154.9367322002957,441,False,
PPO_DR,C1,3,10,218.3297693909061,430,False,
PPO_DR,C1,3,11,193.73911218886718,445,False,
PPO_DR,C1,3,12,226.1816547291105,414,False,
PPO_DR,C1,3,13,221.61923057069225,397,False,
PPO_DR,C1,3,14,181.39725616798785,533,False,
PPO_DR,C1,3,15,222.45777237065636,413,False,
PPO_DR,C1,3,16,210.6923529487125,418,False,
PPO_DR,C1,3,17,221.71251367455568,408,False,
PPO_DR,C1,3,18,215.0765278547549,422,False,
PPO_DR,C1,3,19,221.78430829414137,410,False,
PPO_DR,C2,3,0,-0.5609063051092562,266,False,
PPO_DR,C2,3,1,27.04977705579155,259,False,
PPO_DR,C2,3,2,9.27670754859895,278,False,
PPO_DR,C2,3,3,210.4430036942948,357,False,
PPO_DR,C2,3,4,241.7923903291194,728,False,
PPO_DR,C2,3,5,10.60874230646975,276,False,
PPO_DR,C2,3,6,5.01401311362369,310,False,
PPO_DR,C2,3,7,-0.8121825249460386,286,False,
PPO_DR,C2,3,8,205.0667846437842,374,False,
PPO_DR,C2,3,9,-62.77330357518916,297,False,
PPO_DR,C2,3,10,240.13489933588255,309,False,
PPO_DR,C2,3,11,-29.797273852310852,259,False,
PPO_DR,C2,3,12,244.1395415194408,335,False,
PPO_DR,C2,3,13,8.020510362216669,248,False,
PPO_DR,C2,3,14,204.25610529827128,402,False,
PPO_DR,C2,3,15,10.429176124806261,274,False,
PPO_DR,C2,3,16,225.35640287586904,331,False,
PPO_DR,C2,3,17,6.107471823499694,283,False,
PPO_DR,C2,3,18,17.820921711219768,270,False,
PPO_DR,C2,3,19,27.550591877687083,250,False,
PPO_DR,C3,3,0,8.004500418107796,251,True,200.0
PPO_DR,C3,3,1,14.182858617014062,245,True,200.0
PPO_DR,C3,3,2,36.20052010734696,250,True,200.0
PPO_DR,C3,3,3,-1.2085092770972636,244,True,200.0
PPO_DR,C3,3,4,253.38220485142048,316,True,200.0
PPO_DR,C3,3,5,240.9578629242204,350,True,200.0
PPO_DR,C3,3,6,266.6550355587607,357,True,200.0
PPO_DR,C3,3,7,242.36783967006988,338,True,200.0
PPO_DR,C3,3,8,225.07739605434304,333,True,200.0
PPO_DR,C3,3,9,215.5931974628678,376,True,200.0
PPO_DR,C3,3,10,248.1759906087739,337,True,200.0
PPO_DR,C3,3,11,-18.46613725164005,251,True,200.0
PPO_DR,C3,3,12,249.0632650689824,328,True,200.0
PPO_DR,C3,3,13,32.457160845751474,240,True,200.0
PPO_DR,C3,3,14,-28.97216682339007,269,True,200.0
PPO_DR,C3,3,15,18.61348229080886,263,True,200.0
PPO_DR,C3,3,16,9.463291545381281,253,True,200.0
PPO_DR,C3,3,17,247.3711864152802,318,True,200.0
PPO_DR,C3,3,18,14.065340254914673,246,True,200.0
PPO_DR,C3,3,19,0.8884630292354245,238,True,200.0
PPO_DR,C4,3,0,-0.5609063051092562,266,True,247.0
PPO_DR,C4,3,1,27.04977705579155,259,True,254.0
PPO_DR,C4,3,2,22.792536471956964,281,True,263.0
PPO_DR,C4,3,3,-6.579015860583425,238,True,185.0
