algo,rate,seed,episode,return,length,final_gain
PPO,0.005,2,1.0,-9.008375298438068,242.0,0.29500000000000004
PPO,0.005,2,2.0,25.263100891905324,222.0,0.395
PPO,0.005,2,3.0,0.7231764955243705,247.0,0.27
PPO,0.005,2,4.0,23.95727960592494,237.0,0.31999999999999995
PPO,0.005,2,5.0,6.544984773303952,211.0,0.44999999999999996
PPO,0.005,2,6.0,-6.339892477003318,240.0,0.30499999999999994
PPO,0.005,2,7.0,14.160804288489913,249.0,0.26
PPO,0.005,2,8.0,0.5058445786768431,235.0,0.32999999999999996
PPO,0.005,2,9.0,4.81048501310876,251.0,0.25
PPO,0.005,2,10.0,8.301506040323204,269.0,0.16000000000000003
PPO,0.005,2,11.0,30.202697037471637,231.0,0.35
PPO,0.005,2,12.0,-46.269419739901856,233.0,0.33999999999999997
PPO,0.005,2,13.0,15.99172396388984,219.0,0.41000000000000003
PPO,0.005,2,14.0,13.619382562464182,238.0,0.31499999999999995
PPO,0.005,2,15.0,13.860542994982211,217.0,0.42000000000000004
PPO,0.005,2,16.0,29.50328264510938,238.0,0.31499999999999995
PPO,0.005,2,17.0,20.15357250829841,234.0,0.33499999999999996
PPO,0.005,2,18.0,49.09824886423257,233.0,0.33999999999999997
PPO,0.005,2,19.0,16.823492265958876,254.0,0.235
PPO,0.005,3,0.0,-19.547883776234514,223.0,0.39
PPO,0.005,3,1.0,22.56847502511259,238.0,0.31499999999999995
PPO,0.005,3,2.0,15.954529632242483,228.0,0.365
PPO,0.005,3,3.0,29.604803883624868,230.0,0.355
PPO,0.005,3,4.0,47.56447865504094,233.0,0.33999999999999997
PPO,0.005,3,5.0,30.44475506207604,223.0,0.39
PPO,0.005,3,6.0,17.45857957310797,240.0,0.30499999999999994
PPO,0.005,3,7.0,29.131904560907998,240.0,0.30499999999999994
PPO,0.005,3,8.0,13.302702954939775,244.0,0.28500000000000003
PPO,0.005,3,9.0,-3.046247064013116,232.0,0.345
PPO,0.005,3,10.0,10.835315076742148,223.0,0.39
PPO,0.005,3,11.0,11.050793788895632,251.0,0.25
PPO,0.005,3,12.0,3.1407227425718247,234.0,0.33499999999999996
PPO,0.005,3,13.0,-3.5974442145187027,230.0,0.355
PPO,0.005,3,14.0,21.23135964136577,260.0,0.20499999999999996
PPO,0.005,3,15.0,26.65367627071086,223.0,0.39
PPO,0.005,3,16.0,-6.832042594562893,227.0,0.37
PPO,0.005,3,17.0,3.9831759417203187,227.0,0.37
PPO,0.005,3,18.0,2.0726708856797984,229.0,0.36
PPO,0.005,3,19.0,0.3143583089299824,223.0,0.39
PPO,0.005,4,0.0,7.596753050043063,237.0,0.31999999999999995
PPO,0.005,4,1.0,57.866215394124424,232.0,0.345
PPO,0.005,4,2.0,12.933032109976068,230.0,0.355
PPO,0.005,4,3.0,7.146540232458847,232.0,0.345
PPO,0.005,4,4.0,14.36923224852967,230.0,0.355
PPO,0.005,4,5.0,11.116054260182707,232.0,0.345
PPO,0.005,4,6.0,17.119548741190258,228.0,0.365
PPO,0.005,4,7.0,42.107763221106865,216.0,0.42499999999999993
PPO,0.005,4,8.0,55.307284833724935,235.0,0.32999999999999996
PPO,0.005,4,9.0,28.036684006659584,234.0,0.33499999999999996
PPO,0.005,4,10.0,13.002883685526598,251.0,0.25
PPO,0.005,4,11.0,-8.360196415269911,238.0,0.31499999999999995
PPO,0.005,4,12.0,8.41897552612619,220.0,0.405
PPO,0.005,4,13.0,-5.886119054411779,220.0,0.405
PPO,0.005,4,14.0,22.604744166773088,230.0,0.355
PPO,0.005,4,15.0,28.393269136278036,238.0,0.31499999999999995
PPO,0.005,4,16.0,21.452864124478225,221.0,0.4
PPO,0.005,4,17.0,37.363416182017346,263.0,0.18999999999999995
PPO,0.005,4,18.0,33.72993146540662,233.0,0.33999999999999997
PPO,0.005,4,19.0,36.0811110271508,236.0,0.32499999999999996
PPO,0.002,0,0.0,45.80815606113728,265.0,0.6719999999999999
PPO,0.002,0,1.0,277.74197693386293,367.0,0.46799999999999997
PPO,0.002,0,2.0,239.3435555492124,377.0,0.44799999999999995
PPO,0.002,0,3.0,64.14438259807761,247.0,0.708
PPO,0.002,0,4.0,256.88904054476063,323.0,0.556
PPO,0.002,0,5.0,232.30618301969037,359.0,0.484
PPO,0.002,0,6.0,257.1161729955038,333.0,0.536
PPO,0.002,0,7.0,254.4115962186544,341.0,0.52
PPO,0.002,0,8.0,276.8403710847883,316.0,0.5700000000000001
PPO,0.002,0,9.0,6.340026284040917,306.0,0.59
PPO,0.002,0,10.0,242.00901747337187,342.0,0.518
PPO,0.002,0,11.0,-11.474710774738298,291.0,0.62
PPO,0.002,0,12.0,252.98534670531984,361.0,0.48
PPO,0.002,0,13.0,51.97476505302487,294.0,0.614
PPO,0.002,0,14.0,250.51668686460295,334.0,0.534
PPO,0.002,0,15.0,268.365127032734,360.0,0.482
PPO,0.002,0,16.0,218.65628770517796,348.0,0.506
PPO,0.002,0,17.0,240.37015523945152,343.0,0.516
PPO,0.002,0,18.0,284.68954641139123,329.0,0.544
PPO,0.002,0,19.0,232.93105846659086,352.0,0.498
PPO,0.002,1,0.0,261.39730003252765,284.0,0.634
PPO,0.002,1,1.0,272.1838361401125,259.0,0.6839999999999999
PPO,0.002,1,2.0,287.59346192437965,285.0,0.632
PPO,0.002,1,3.0,302.05424813412566,288.0,0.626
PPO,0.002,1,4.0,259.8535971856882,265.0,0.6719999999999999
PPO,0.002,1,5.0,258.15295044981144,283.0,0.636
PPO,0.002,1,6.0,290.21193834813164,272.0,0.6579999999999999
PPO,0.002,1,7.0,253.74360238026085,272.0,0.6579999999999999
PPO,0.002,1,8.0,306.45970029975456,307.0,0.588
PPO,0.002,1,9.0,298.04456254700074,285.0,0.632
PPO,0.002,1,10.0,287.33218679757084,271.0,0.6599999999999999
PPO,0.002,1,11.0,253.1089326764857,295.0,0.612
PPO,0.002,1,12.0,278.71699949924823,297.0,0.608
PPO,0.002,1,13.0,260.14154427427343,285.0,0.632
PPO,0.002,1,14.0,258.98291045203473,284.0,0.634
PPO,0.002,1,15.0,251.84038282951056,275.0,0.6519999999999999
PPO,0.002,1,16.0,259.9730498875035,259.0,0.6839999999999999
PPO,0.002,1,17.0,276.4208737351387,284.0,0.634
PPO,0.002,1,18.0,277.1865902496063,252.0,0.698
PPO,0.002,1,19.0,267.72830627435474,274.0,0.6539999999999999
PPO,0.002,2,0.0,229.20784844260163,368.0,0.46599999999999997
PPO,0.002,2,1.0,258.8390121011174,387.0,0.42799999999999994
PPO,0.002,2,2.0,65.66658116075885,274.0,0.6539999999999999
PPO,0.002,2,3.0,41.11333827927993,315.0,0.5720000000000001
PPO,0.002,2,4.0,261.87842389206685,368.0,0.46599999999999997
PPO,0.002,2,5.0,264.8549547846783,332.0,0.538
PPO,0.002,2,6.0,46.848821549036245,280.0,0.642
PPO,0.002,2,7.0,253.63057868220955,350.0,0.502
PPO,0.002,2,8.0,249.84833999988632,321.0,0.56
PPO,0.002,2,9.0,24.001091230193282,309.0,0.584
PPO,0.002,2,10.0,44.182522469052884,339.0,0.524
PPO,0.002,2,11.0,259.47594671246446,356.0,0.49
PPO,0.002,2,12.0,8.128768491143475,280.0,0.642
PPO,0.002,2,13.0,268.02651389708444,419.0,0.364
PPO,0.002,2,14.0,265.55917069925295,334.0,0.534
PPO,0.002,2,15.0,252.0974510143874,345.0,0.512
PPO,0.002,2,16.0,285.8381504762375,366.0,0.47
PPO,0.002,2,17.0,40.90646200910632,318.0,0.5660000000000001
PPO,0.002,2,18.0,141.94642420145246,1000.0,0.0
PPO,0.002,2,19.0,258.52330745331096,379.0,0.44399999999999995
PPO,0.002,3,0.0,228.65710116864042,322.0,0.558
PPO,0.002,3,1.0,260.8893646620055,314.0,0.5740000000000001
PPO,0.002,3,2.0,26.944419816372516,255.0,0.692
PPO,0.002,3,3.0,48.18985676559862,273.0,0.6559999999999999
PPO,0.002,3,4.0,262.93620368144093,325.0,0.552
PPO,0.002,3,5.0,275.27328655459746,342.0,0.518
PPO,0.002,3,6.0,72.5931771917111,305.0,0.592
PPO,0.002,3,7.0,270.50475242521725,329.0,0.544
PPO,0.002,3,8.0,247.81514705856918,323.0,0.556
PPO,0.002,3,9.0,230.51837044137994,329.0,0.544
PPO,0.002,3,10.0,28.805128001097813,265.0,0.6719999999999999
PPO,0.002,3,11.0,266.23458970613984,344.0,0.514
PPO,0.002,3,12.0,248.5340059606121,327.0,0.548
PPO,0.002,3,13.0,249.86121491633293,317.0,0.5680000000000001
PPO,0.002,3,14.0,283.46187952569653,376.0,0.44999999999999996
PPO,0.002,3,15.0,250.859935227011,332.0,0.538
PPO,0.002,3,16.0,236.54870118807042,344.0,0.514
PPO,0.002,3,17.0,245.99073089324713,308.0,0.586
PPO,0.002,3,18.0,235.48428662672072,328.0,0.546
PPO,0.002,3,19.0,247.22608995456795,345.0,0.512
PPO,0.002,4,0.0,242.17288299748452,373.0,0.45599999999999996
PPO,0.002,4,1.0,286.321455109844,311.0,0.5800000000000001
PPO,0.002,4,2.0,249.97921216077498,334.0,0.534
PPO,0.002,4,3.0,231.68970084886453,322.0,0.558
PPO,0.002,4,4.0,261.00638605381687,313.0,0.5760000000000001
PPO,0.002,4,5.0,243.92437635593674,317.0,0.5680000000000001
PPO,0.002,4,6.0,265.7575409142786,297.0,0.608
PPO,0.002,4,7.0,34.668077239381205,272.0,0.6579999999999999
PPO,0.002,4,8.0,300.58228034406636,340.0,0.522
PPO,0.002,4,9.0,251.5186108124277,333.0,0.536
PPO,0.002,4,10.0,252.0039455361201,382.0,0.43799999999999994
PPO,0.002,4,11.0,218.83722181237204,308.0,0.586
PPO,0.002,4,12.0,254.10186159838756,359.0,0.484
PPO,0.002,4,13.0,232.0583752395363,328.0,0.546
PPO,0.002,4,14.0,284.2505838727699,325.0,0.552
PPO,0.002,4,15.0,254.56938507729868,349.0,0.504
PPO,0.002,4,16.0,284.9742219853713,306.0,0.59
PPO,0.002,4,17.0,42.81202195923515,308.0,0.586
PPO,0.002,4,18.0,263.9694986526505,329.0,0.544
PPO,0.002,4,19.0,252.62800655249117,303.0,0.596
SAC,0.02,0,0.0,298.075604051411,171.0,0.0
SAC,0.02,0,1.0,32.67863466423492,156.0,0.0
