algo,gain,fault_step,seed,episode,return,length
PPO,0.5,150,4,10.0,34.052621735223056,236.0
PPO,0.5,150,4,11.0,2.065717756420952,226.0
PPO,0.5,150,4,12.0,3.244797403956184,218.0
PPO,0.5,150,4,13.0,4.98022460830407,205.0
PPO,0.5,150,4,14.0,39.7189771059366,213.0
PPO,0.5,150,4,15.0,261.23881154345605,310.0
PPO,0.5,150,4,16.0,40.21561029560033,206.0
PPO,0.5,150,4,17.0,43.595536859080084,213.0
PPO,0.5,150,4,18.0,13.582813267710549,217.0
PPO,0.5,150,4,19.0,29.087150526536504,221.0
PPO,0.5,200,0,0.0,40.75487889464415,247.0
PPO,0.5,200,0,1.0,47.47963375429288,269.0
PPO,0.5,200,0,2.0,26.811952780914282,262.0
PPO,0.5,200,0,3.0,302.8289641557918,314.0
PPO,0.5,200,0,4.0,21.36649355694054,262.0
PPO,0.5,200,0,5.0,3.928197663200933,264.0
PPO,0.5,200,0,6.0,36.95829607252341,271.0
PPO,0.5,200,0,7.0,26.7573520336487,252.0
PPO,0.5,200,0,8.0,56.992508416496236,242.0
PPO,0.5,200,0,9.0,-6.64605890694412,249.0
PPO,0.5,200,0,10.0,27.48060899804284,268.0
PPO,0.5,200,0,11.0,-17.258852183391497,254.0
PPO,0.5,200,0,12.0,22.475428909059204,256.0
PPO,0.5,200,0,13.0,35.65401697862268,270.0
PPO,0.5,200,0,14.0,31.771964025633793,271.0
PPO,0.5,200,0,15.0,21.209329983365308,271.0
PPO,0.5,200,0,16.0,220.62377947848648,342.0
PPO,0.5,200,0,17.0,-10.014861293022463,254.0
PPO,0.5,200,0,18.0,46.8599367186726,251.0
PPO,0.5,200,0,19.0,-4.87149553146196,255.0
PPO,0.5,200,1,0.0,260.04314642368286,323.0
PPO,0.5,200,1,1.0,270.0406998211922,275.0
PPO,0.5,200,1,2.0,289.3669224595672,297.0
PPO,0.5,200,1,3.0,75.60645847219743,232.0
PPO,0.5,200,1,4.0,261.25438075213816,268.0
PPO,0.5,200,1,5.0,260.7398193157471,321.0
PPO,0.5,200,1,6.0,66.78415011765722,236.0
PPO,0.5,200,1,7.0,25.70475730517795,227.0
PPO,0.5,200,1,8.0,80.19697233812235,224.0
PPO,0.5,200,1,9.0,59.55831908004075,225.0
PPO,0.5,200,1,10.0,284.45798423141423,293.0
PPO,0.5,200,1,11.0,26.97327686296697,236.0
PPO,0.5,200,1,12.0,39.825230273636066,237.0
PPO,0.5,200,1,13.0,262.6145824431115,289.0
PPO,0.5,200,1,14.0,266.5418008869441,294.0
PPO,0.5,200,1,15.0,254.8868317418064,307.0
PPO,0.5,200,1,16.0,260.4730198721571,294.0
PPO,0.5,200,1,17.0,277.495789377322,292.0
PPO,0.5,200,1,18.0,279.71594574491365,302.0
PPO,0.5,200,1,19.0,31.89325158796578,228.0
PPO,0.5,200,2,0.0,-3.8610236907175306,257.0
PPO,0.5,200,2,1.0,13.06115778135549,300.0
PPO,0.5,200,2,2.0,277.0893818254397,350.0
PPO,0.5,200,2,3.0,48.26365794041678,284.0
PPO,0.5,200,2,4.0,23.070623301840612,263.0
PPO,0.5,200,2,5.0,30.764741126495778,247.0
PPO,0.5,200,2,6.0,10.43033855943058,279.0
PPO,0.5,200,2,7.0,16.02068475192705,265.0
PPO,0.5,200,2,8.0,21.529597345355967,248.0
PPO,0.5,200,2,9.0,-7.084862351109024,258.0
PPO,0.5,200,2,10.0,44.385430224569916,284.0
PPO,0.5,200,2,11.0,12.783938799081568,261.0
PPO,0.5,200,2,12.0,-6.662929389587944,267.0
PPO,0.5,200,2,13.0,32.47773149320909,240.0
PPO,0.5,200,2,14.0,41.845710169233456,268.0
PPO,0.5,200,2,15.0,17.64638149545611,265.0
PPO,0.5,200,2,16.0,42.746194970231926,253.0
PPO,0.5,200,2,17.0,44.58366583624934,268.0
PPO,0.5,200,2,18.0,51.6631937099842,278.0
PPO,0.5,200,2,19.0,41.04166449132927,310.0
PPO,0.5,200,3,0.0,-8.177862768089682,252.0
PPO,0.5,200,3,1.0,32.18289313696181,249.0
PPO,0.5,200,3,2.0,16.76492321298278,253.0
PPO,0.5,200,3,3.0,24.992059029477204,237.0
PPO,0.5,200,3,4.0,269.0246550749977,324.0
PPO,0.5,200,3,5.0,53.72151967453664,255.0
PPO,0.5,200,3,6.0,53.1774839184593,283.0
PPO,0.5,200,3,7.0,41.9999248574637,260.0
PPO,0.5,200,3,8.0,19.263349206265545,255.0
PPO,0.5,200,3,9.0,28.296869294776684,277.0
PPO,0.5,200,3,10.0,20.651398133146273,256.0
PPO,0.5,200,3,11.0,10.395473628391642,254.0
PPO,0.5,200,3,12.0,11.333502153231493,259.0
PPO,0.5,200,3,13.0,31.639155484686455,244.0
PPO,0.5,200,3,14.0,52.73844342473217,273.0
PPO,0.5,200,3,15.0,35.09749866325632,266.0
PPO,0.5,200,3,16.0,1.4806667702769971,259.0
PPO,0.5,200,3,17.0,14.854284748330485,264.0
PPO,0.5,200,3,18.0,2.41078259215449,251.0
PPO,0.5,200,3,19.0,21.592809970868743,239.0
PPO,0.5,200,4,0.0,14.50004438175543,254.0
PPO,0.5,200,4,1.0,59.703841822370066,250.0
PPO,0.5,200,4,2.0,19.94314708572422,237.0
PPO,0.5,200,4,3.0,4.310151951253545,253.0
PPO,0.5,200,4,4.0,29.511754912286904,253.0
PPO,0.5,200,4,5.0,6.49831536494186,261.0
PPO,0.5,200,4,6.0,38.05569798516697,258.0
PPO,0.5,200,4,7.0,26.79826997749332,268.0
PPO,0.5,200,4,8.0,57.07098828502447,235.0
